# Serial Port vs IDP Detection Result Comparison Log
# Format: [TIMESTAMP] ROUND_ID | SERIAL_RESULT | IDP_RESULT | MATCH_STATUS | NOTES
# ================================================================================
[2025-11-18 14:15:46.319] ARO-001-a06a1296-92d7-43a9-aa7b-53b0e92ae33f | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:56:23.291] ARO-001-b711f718-220f-470c-bb53-8466cb1e449c | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:57:23.808] ARO-001-5c075b2f-f6f7-466d-8d57-5ef6ed16e1d3 | SERIAL: 12 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:58:14.800] ARO-001-9d3b1228-0279-4481-9f41-980219aab3db | SERIAL: 18 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:59:04.311] ARO-001-3847e747-3d87-4c90-b57f-3ebabc6fe7a1 | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 09:59:49.807] ARO-001-3da3466c-2bad-43b5-9f7c-6a1f98238e6c | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:00:33.808] ARO-001-4a301760-5167-4bb2-a0c1-7d5f74357093 | SERIAL: 1 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:01:26.819] ARO-001-b2e9bed5-d17a-477d-8365-94339ad34467 | SERIAL: 36 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:02:17.833] ARO-001-8f8ed280-24c0-4289-8bc0-7d56b33af8bb | SERIAL: 10 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:03:04.838] ARO-001-99c50db1-2c53-4935-bf25-b33f43676a75 | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:03:55.329] ARO-001-a6f03cab-736b-4dcb-98f6-081d13f06f72 | SERIAL: 1 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:04:46.836] ARO-001-692235b0-8ed2-4ea3-859b-ef4b92a258e0 | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:05:37.847] ARO-001-6592a98c-3fb4-4fd2-bbd3-b7331878d845 | SERIAL: 11 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:06:24.352] ARO-001-bc973bf9-552e-479f-b3da-6a45c510eb68 | SERIAL: 5 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:07:14.865] ARO-001-6942ba97-e683-43e4-902d-81e75761b77c | SERIAL: 20 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:07:58.360] ARO-001-70bcd0c0-a3e3-4419-8539-f800ec1a01e8 | SERIAL: 7 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:08:47.361] ARO-001-ce699607-35d8-4700-9713-52334015d72c | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:09:35.377] ARO-001-d66c4b88-c9f3-4b3d-b8c3-b103496e2c53 | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:10:28.880] ARO-001-ac3087b7-01cf-46af-a9af-2c0d2bf2ccad | SERIAL: 29 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:11:14.383] ARO-001-3f522135-f16a-403a-b723-1f4405924105 | SERIAL: 36 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:12:10.884] ARO-001-0dc4c134-a251-4e1f-8b53-58830a8e6650 | SERIAL: 25 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:13:03.886] ARO-001-23071c0f-f498-4b47-bc20-f8dfff1d9520 | SERIAL: 23 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:13:58.395] ARO-001-1a0600db-463f-4860-897e-4fe59b629b0c | SERIAL: 26 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:14:47.892] ARO-001-c1de2a40-b489-4d1e-ae61-292a823d97a9 | SERIAL: 24 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:15:47.909] ARO-001-967e01c7-57ce-4498-9e80-36a2b9eca939 | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:16:31.907] ARO-001-1b3e0e2f-0a1c-4711-acc1-6330681ee4d6 | SERIAL: 10 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:17:24.409] ARO-001-bf60bf3e-26cf-46ac-9fd2-495eab7fc9ac | SERIAL: 7 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-19 10:18:11.414] ARO-001-d124c520-2cff-477b-920c-71ec6391098f | SERIAL: 25 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:01:24.813] ARO-001-78069790-8775-4a1a-a569-f3f758d01d13 | SERIAL: 13 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:02:10.813] ARO-001-a7ed0bcb-c622-4e05-84f3-4ced71ee1442 | SERIAL: 17 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:02:58.830] ARO-001-22dd379a-9865-40b6-87a5-1c535bace940 | SERIAL: 25 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:03:51.328] ARO-001-fe331906-2684-4a02-846a-9baeadba3898 | SERIAL: 15 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:04:40.338] ARO-001-be80b210-60f8-4e43-9a69-106e5bef1a7a | SERIAL: 18 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:05:46.411] ARO-001-bac358ec-0713-4570-bf12-2a606178285f | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:06:13.347] ARO-001-49042334-d7d6-4b75-a207-62f48eb10de4 | SERIAL: 24 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:07:02.356] ARO-001-04cc58c0-f2c1-4390-8f01-efb91e134f49 | SERIAL: 2 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:07:49.348] ARO-001-15476cf2-7dbf-45da-9687-ee69b2094411 | SERIAL: 14 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:08:49.366] ARO-001-7abb968d-4517-4f35-8d08-28938c0098b8 | SERIAL: 14 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:09:37.367] ARO-001-706d2afe-1e89-46bc-bef8-64909c2f00bc | SERIAL: 15 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:10:43.434] ARO-001-73b98bf3-2620-4c08-82de-c5570012d14b | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:11:13.368] ARO-001-fe88e897-27f1-48a6-bff0-63327557d6d5 | SERIAL: 32 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:11:57.368] ARO-001-bbb1a996-1a11-4336-bf0f-cb675775bc2e | SERIAL: 29 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:12:59.950] ARO-001-ab6cb12a-26d5-44bd-83a2-94f458bd6c2c | SERIAL: 6 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:13:45.451] ARO-001-46ec673a-db48-4482-b70b-d9570d9c6976 | SERIAL: 26 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:14:14.890] ARO-001-2339b836-f6c1-4612-a23a-a82a94baf498 | SERIAL: 11 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:15:24.465] ARO-001-c1e9589f-3389-4483-807b-beca68771e6a | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:16:07.966] ARO-001-0ba798b9-8425-4718-998d-be835ab502ce | SERIAL: 25 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:16:38.397] ARO-001-5c8a18e7-75c8-4137-915c-b566f04d320a | SERIAL: 9 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:17:40.979] ARO-001-37c33ff1-6242-45ba-bd03-795d2fc5ebb1 | SERIAL: 6 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:18:08.415] ARO-001-b66788f7-53b0-4fea-898f-413ebf6df7a0 | SERIAL: 8 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:19:12.980] ARO-001-53830d64-0b7c-4511-86d2-905454284d5f | SERIAL: 29 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:19:41.921] ARO-001-a971b51a-b1cf-48bc-a9d5-6490d8b595da | SERIAL: 20 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:20:47.494] ARO-001-d7b585f5-41da-4d0a-b58f-83103bdb2cb9 | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:21:18.931] ARO-001-c4e83f06-fdf8-4adb-b97d-acca9a19ea8a | SERIAL: 3 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:22:13.924] ARO-001-2dfb3ede-23ba-4f23-81aa-092f0e1cf9d7 | SERIAL: 24 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:23:04.933] ARO-001-62f3e78c-00a5-4f07-9d3c-3341d4b66c9f | SERIAL: 29 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:23:55.941] ARO-001-03491021-1f1d-4751-86f3-959eceffe849 | SERIAL: 14 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:25:04.009] ARO-001-c67d1f68-09f9-4718-8023-7c36d088d027 | SERIAL: 29 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:25:49.520] ARO-001-783b673a-a4bb-4366-a586-817707e54789 | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:26:24.952] ARO-001-ad45097b-8036-4af7-9fec-2a37aee84331 | SERIAL: 29 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:27:30.522] ARO-001-a2b2eab4-668e-4434-b983-ece1008e318d | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:28:05.466] ARO-001-adfeb7b2-2a25-4d74-b05b-e3e0d747b50c | SERIAL: 23 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:28:51.962] ARO-001-83f9da79-f7d7-4e2e-a80a-00e25d663ef7 | SERIAL: 22 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:30:03.039] ARO-001-db72ea08-a69b-41c1-a4a9-9515f059fe50 | SERIAL: 16 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:30:48.549] ARO-001-e00848ae-041b-4b57-a16e-279743f543c8 | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:31:39.061] ARO-001-43f77668-6a59-4a32-90a6-3c52754d2194 | SERIAL: 7 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:32:25.557] ARO-001-ec726cd4-048f-440f-9af2-aac3fad2e1d2 | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:33:12.494] ARO-001-b2639985-e831-4132-bc2a-fcdde7e31d7b | SERIAL: 27 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:34:19.573] ARO-001-73f19e41-c84f-4431-be6e-75c417b5329f | SERIAL: 7 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:34:54.001] ARO-001-29fdf97e-8bdc-4bcd-9a33-f90ed111169d | SERIAL: 5 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:35:40.002] ARO-001-cf5c2940-32ca-419b-89ea-449bb3eac88f | SERIAL: 10 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:36:30.003] ARO-001-ba790806-3164-4efb-9219-96f5413a8891 | SERIAL: 18 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:37:35.589] ARO-001-b9fb4754-7cde-4ea5-b9bb-fe32bcb5038d | SERIAL: 5 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:38:03.014] ARO-001-e8eee313-4638-4582-82fa-297dd9f31a53 | SERIAL: 19 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:39:08.092] ARO-001-e357e31d-a69a-4980-a613-8e7b18981cb7 | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:40:06.606] ARO-001-389c8528-472e-4b0a-960a-ad5c85856e8e | SERIAL: 0 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:40:56.609] ARO-001-5b4a01ed-536f-4cb2-be7c-80a41683b871 | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:41:26.042] ARO-001-40d8f374-6226-4d50-a3f2-0610269398c5 | SERIAL: 2 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:42:31.130] ARO-001-652194a4-638c-498f-9b10-b4b9648579be | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:43:03.052] ARO-001-630ee074-9c4b-452d-9621-c9e8da25823a | SERIAL: 30 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:43:51.053] ARO-001-73a983e8-2c2d-4cf9-8b89-8e46d47378de | SERIAL: 35 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:44:37.549] ARO-001-d1daf816-1cf7-45ce-91eb-81a50974dcd2 | SERIAL: 17 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:45:45.636] ARO-001-c8c0aaf5-ed48-4f0e-91a8-051a9bc70103 | SERIAL: 21 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:46:39.137] ARO-001-102e304b-4c0e-450d-a4ce-0cca49913a78 | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:47:11.072] ARO-001-14d458e5-38f1-4ac6-89b0-0a9d19b8fae9 | SERIAL: 34 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:47:58.065] ARO-001-7e97fe95-53a9-41e0-8d2a-a0edd232c798 | SERIAL: 7 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:49:06.151] ARO-001-908eb005-9955-425f-a597-1cf9458dc70c | SERIAL: 24 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:49:53.655] ARO-001-341973f7-dd12-4797-8d9a-2583c8174e72 | SERIAL: 16 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:50:41.665] ARO-001-b4e74b98-33ed-4262-94a0-8dfbd1b2fada | SERIAL: 15 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:51:40.667] ARO-001-387c3bea-6059-4956-8332-2ad5dd92c09d | SERIAL: 13 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:52:26.665] ARO-001-2d534347-24d3-4a76-bb27-47f5ee609191 | SERIAL: 36 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:53:16.667] ARO-001-7e0dc9bb-0dcc-4058-a65b-e885dfc918f0 | SERIAL: 22 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:53:40.104] ARO-001-430cb1f8-8fac-4a9e-b3dd-850f38e174d0 | SERIAL: 26 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:54:47.183] ARO-001-9bdd2996-bf22-46ac-9b76-0a9789418a11 | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:55:13.113] ARO-001-3c59d69d-7c27-4822-872b-f85f12676517 | SERIAL: 10 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:56:20.686] ARO-001-90269947-4e31-4f2f-86fc-307c5a4bde57 | SERIAL: 33 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:57:08.694] ARO-001-a289745b-1aa0-4d8b-ad0a-9503eae6ddb1 | SERIAL: 5 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 06:57:35.627] ARO-001-d13d4851-3ff0-4d8a-91ae-4db65d7f33fc | SERIAL: 22 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:58:21.628] ARO-001-84cfae66-d64e-4b40-ac66-c309c6c4771a | SERIAL: 27 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 06:59:19.629] ARO-001-deb28343-3469-4884-84c7-16d48ce66434 | SERIAL: 18 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:00:21.718] ARO-001-5113cfed-0fd8-4940-a369-1cc66e233c08 | SERIAL: 14 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:01:15.716] ARO-001-4159e002-c09f-4ffc-9b3f-9cd75961ca8c | SERIAL: 36 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:01:45.151] ARO-001-1e54b52c-d216-485e-84a9-587e43fec99a | SERIAL: 25 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:03:00.225] ARO-001-01d20147-c096-462a-902b-8590c9098d98 | SERIAL: 19 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:03:50.236] ARO-001-128b916c-bf08-4c37-b811-3f0b617aa419 | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:04:42.727] ARO-001-163be863-55bd-4924-bd84-0f888d4e0fde | SERIAL: 17 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:05:26.231] ARO-001-a4177cd8-f6aa-41fd-8efd-d9631b6dfca9 | SERIAL: 29 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:06:14.254] ARO-001-7e86cc60-4f77-4520-9871-1bdfc6de6898 | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:07:01.242] ARO-001-9d4c845f-c8a2-45e9-9e88-3d94c3813f0b | SERIAL: 1 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:07:51.256] ARO-001-79dd2142-aab6-42be-a64e-055dbe0f4b1e | SERIAL: 35 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:08:25.688] ARO-001-accb7d0f-074f-4dae-8547-99527956ffac | SERIAL: 17 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:09:29.259] ARO-001-e879c13d-7989-4a3e-b42e-78c72a35700a | SERIAL: 6 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:10:15.772] ARO-001-6738ae39-a60f-42f4-a9a3-360ffeeccee1 | SERIAL: 2 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:10:45.692] ARO-001-bc58ad6d-3fa5-4050-9149-4ac187aed3f8 | SERIAL: 16 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:11:32.702] ARO-001-d3cb9cfd-7cdd-46cf-8c1a-89930f86258c | SERIAL: 16 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:12:44.282] ARO-001-d0ae39be-8adb-4ce0-aac6-c86453336a4e | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:13:26.298] ARO-001-b6da88e7-31ae-4249-9927-1b78248bac36 | SERIAL: 30 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:13:54.722] ARO-001-66d7ab94-22d9-4f3d-bdc2-a10e560aa559 | SERIAL: 27 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:14:45.715] ARO-001-e5c8ae2e-7b45-4717-9f9b-7dad0bcd4bf3 | SERIAL: 7 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:15:54.298] ARO-001-c61203cf-b0bb-4108-9256-1b705a607eb5 | SERIAL: 2 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:16:20.725] ARO-001-1e845b06-76d3-458c-bb91-7f48c32eba43 | SERIAL: 32 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:17:12.743] ARO-001-62835957-d683-4cc0-a3a0-74b9cdda9d7c | SERIAL: 23 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:17:58.248] ARO-001-2a279692-7c5d-4ab5-8acb-57f8a45342ec | SERIAL: 34 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:18:47.241] ARO-001-b0050622-4769-47ef-af59-08afd6f9083e | SERIAL: 32 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:19:37.258] ARO-001-32a2b574-91eb-464a-96d5-874d27b9c14b | SERIAL: 31 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:20:27.259] ARO-001-d5cfb1c4-e708-47dd-9ed5-5bc45fd4f02b | SERIAL: 25 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:21:14.764] ARO-001-23f37f51-ae13-4bf9-88e2-e60fcef6fe4e | SERIAL: 8 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:22:23.346] ARO-001-26d148ea-02ed-4964-aa2c-612236722c6d | SERIAL: 8 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:23:09.845] ARO-001-cd30f3c8-c1ae-4347-80d7-582f143c7520 | SERIAL: 34 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:23:36.271] ARO-001-04212ebf-83aa-4ecb-a269-685afd4d243d | SERIAL: 22 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
[2025-11-20 07:24:43.347] ARO-001-7315411d-609b-4f23-8db4-0307b1c496d7 | SERIAL: 27 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:25:34.358] ARO-001-2f60c3e9-55c7-4ffb-82aa-38b3d706e841 | SERIAL: 5 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:26:21.862] ARO-001-a858f4a9-b0af-4351-967c-b4d0e35694e9 | SERIAL: 32 | IDP: [''] | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=list
[2025-11-20 07:26:55.796] ARO-001-540d1d25-b5f1-4082-a6cc-04a8296eff13 | SERIAL: 7 | IDP: DETECTION_FAILED | MISMATCH | IDP result null/empty; Format difference: Serial=int, IDP=str
